account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,area_code_area_code_415,area_code_area_code_510
72,0,0,0,287.4,116,126,20.0,292.1,114,3,1.35,4,1,0,1
63,0,1,34,152.2,119,91,19.3,195.7,103,5,3.32,1,0,0,1
54,0,0,0,255.4,122,87,1.9,152.6,72,6,3.0,0,0,1,0
41,0,0,0,202.9,97,104,13.07,113.5,92,3,2.43,3,0,0,0
50,1,0,0,99.6,108,102,26.24,161.2,62,6,3.7,2,1,1,0
174,0,0,0,190.3,98,70,21.48,220.6,97,9,1.94,2,0,1,0
32,0,1,26,243.5,137,108,20.13,173.3,149,9,2.43,1,0,0,1
150,0,0,0,189.3,77,105,18.78,238.7,117,5,2.48,4,0,0,1
134,0,0,0,164.9,115,96,10.75,238.5,125,9,2.7,2,0,1,0
116,0,0,0,133.8,88,103,15.05,185.2,106,4,3.35,2,0,0,0
83,0,0,0,78.1,70,115,20.34,144.4,112,4,3.32,1,0,0,1
95,0,1,45,116.4,115,123,24.11,285.2,103,4,3.46,1,0,0,0
104,0,0,0,261.2,81,130,17.77,281.1,121,1,3.05,2,1,1,0
68,0,1,34,160.0,72,119,15.68,208.3,101,10,1.65,1,0,1,0
82,0,0,0,200.3,96,102,17.1,206.1,60,1,1.92,4,0,0,0
26,0,0,0,290.1,143,97,20.88,147.0,80,4,2.0,2,1,0,0
46,0,0,0,257.4,67,91,22.19,204.4,107,5,3.62,2,1,0,0
131,0,0,0,155.6,78,134,14.04,184.1,89,2,2.35,2,0,0,0
103,1,0,0,171.7,78,86,12.28,157.9,106,3,1.84,3,0,0,1
157,0,0,0,196.0,74,96,18.14,196.8,81,6,2.13,1,0,1,0
140,0,0,0,173.2,91,106,16.73,209.3,128,5,3.02,3,0,0,0
141,0,0,0,51.9,108,83,13.77,223.5,115,3,2.73,3,0,0,0
43,0,0,0,212.5,88,145,23.3,194.6,52,6,2.32,0,0,0,0
63,0,0,0,112.5,95,67,17.95,227.5,96,8,3.0,0,0,1,0
58,0,0,0,210.1,126,108,21.16,158.6,88,2,3.89,4,0,0,1
138,0,0,0,241.8,93,83,14.49,295.3,104,7,3.19,3,0,0,0
107,0,0,0,212.1,95,88,12.76,219.8,111,2,2.08,3,0,1,0
77,0,0,0,163.0,112,89,18.62,233.4,66,3,1.81,2,0,1,0
166,0,1,32,148.4,86,119,14.5,201.5,124,12,3.05,1,0,0,1
29,0,0,0,157.4,122,75,12.33,281.8,92,2,2.51,1,0,1,0
86,0,1,30,99.9,84,125,22.4,254.7,90,7,2.65,2,0,1,0
105,0,0,0,227.4,121,89,22.82,143.3,82,4,3.51,1,0,0,1
123,0,1,28,124.7,105,78,21.28,216.4,128,8,2.11,1,0,0,0
142,0,1,30,154.0,75,97,14.09,270.0,83,5,2.92,1,0,1,0
99,0,0,0,254.4,120,92,13.54,264.4,94,5,1.62,1,0,1,0
80,0,0,0,151.5,89,78,11.19,235.3,131,4,3.19,0,0,1,0
42,0,0,0,217.2,122,58,25.77,147.3,114,4,3.78,2,0,1,0
232,0,0,0,248.2,128,96,17.95,147.1,117,6,2.7,2,0,1,0
45,0,1,18,168.0,127,76,13.22,152.7,127,5,3.19,0,0,1,0
59,0,1,28,120.9,97,92,18.11,163.1,116,5,2.3,2,0,0,0
71,1,0,0,186.1,114,140,16.88,206.5,80,5,3.73,4,1,0,1
71,0,0,0,141.2,132,90,12.67,171.4,72,2,1.89,2,0,0,0
110,0,0,0,251.3,91,95,17.61,249.0,70,2,3.48,1,1,1,0
119,0,0,0,153.2,131,85,9.91,218.5,74,5,2.73,1,0,0,0
119,0,1,24,217.2,94,52,11.79,139.3,85,4,3.05,0,0,0,0
120,0,1,27,179.6,142,103,22.34,239.9,81,2,3.0,1,0,1,0
69,0,0,0,228.2,70,80,22.41,142.6,60,5,2.89,3,0,1,0
103,0,0,0,228.4,103,129,8.27,199.9,67,7,2.54,3,0,1,0
88,0,0,0,82.7,94,130,13.39,205.9,81,4,2.86,0,1,1,0
65,0,0,0,180.3,84,129,16.99,280.1,62,1,3.27,3,0,1,0
144,1,0,0,203.5,100,103,21.05,194.3,94,11,3.21,0,0,0,1
116,0,1,12,221.0,108,118,12.84,179.0,80,6,2.43,2,0,0,1
182,0,0,0,160.3,87,101,19.54,185.3,96,11,2.35,2,0,1,0
60,0,0,0,220.6,57,115,17.94,249.0,129,3,1.84,1,0,0,0
52,0,1,21,195.7,119,95,9.03,157.4,94,3,1.43,2,0,0,1
152,0,0,0,284.6,113,101,12.05,127.4,78,5,3.4,0,0,1,0
101,0,0,0,253.2,89,114,20.22,154.3,85,7,2.62,4,0,1,0
125,1,0,0,187.3,118,111,13.66,263.8,112,2,2.59,0,1,1,0
83,0,0,0,48.4,105,86,11.87,154.1,80,4,3.11,2,0,0,0
161,0,0,0,105.4,70,122,18.26,223.6,126,5,2.11,0,0,1,0
1,0,0,0,144.8,107,66,9.56,218.7,79,3,3.73,1,0,1,0
76,0,1,22,160.1,107,136,14.34,23.2,102,4,2.57,3,0,1,0
100,0,0,0,218.9,124,99,20.19,189.7,52,6,2.97,2,0,1,0
20,0,1,27,231.6,105,120,18.98,212.0,99,4,2.4,1,0,1,0
101,0,0,0,217.7,118,128,19.69,185.3,128,0,0.0,3,0,1,0
123,0,0,0,172.2,92,76,13.82,250.3,101,4,2.35,1,0,1,0
77,1,0,0,192.7,82,91,16.83,204.2,95,6,2.43,1,0,0,0
190,0,0,0,182.2,101,95,18.05,233.0,123,4,2.51,2,0,0,0
156,0,0,0,174.3,95,128,15.86,258.2,105,5,3.48,3,0,0,0
116,0,0,0,85.8,88,112,9.84,195.9,91,2,2.97,1,0,0,0
158,0,1,19,127.6,88,82,19.99,195.0,87,3,2.73,0,0,1,0
94,0,0,0,163.5,136,111,12.21,253.4,82,5,3.4,1,0,0,1
67,0,0,0,102.8,93,91,11.71,158.9,110,5,2.4,1,0,0,1
108,0,1,15,165.1,85,93,22.7,250.7,114,4,2.94,1,0,0,0
115,0,0,0,210.6,120,84,13.01,262.2,79,5,2.97,0,0,1,0
108,0,0,0,210.7,112,73,20.29,253.6,90,5,2.48,3,0,0,1
87,0,0,0,210.7,46,116,18.33,170.4,79,3,3.56,1,0,1,0
76,0,0,0,179.1,110,81,13.36,240.0,109,3,1.76,0,0,1,0
113,0,0,0,209.4,151,113,29.52,246.0,116,2,2.0,1,1,1,0
78,0,0,0,168.3,110,73,18.8,241.0,136,1,3.38,1,0,0,1
73,0,1,33,217.7,108,106,20.88,242.9,100,6,2.38,1,0,0,1
98,0,0,0,211.9,65,95,19.09,233.0,81,3,2.67,2,0,1,0
66,0,0,0,180.4,99,114,11.48,206.0,98,6,2.57,1,0,1,0
134,0,1,50,208.8,130,104,11.3,136.7,107,4,3.0,2,0,1,0
73,0,1,47,173.7,117,114,17.34,174.6,94,3,1.7,2,0,1,0
91,0,0,0,240.8,105,93,16.39,253.4,69,3,2.05,4,0,0,0
110,0,0,0,94.1,127,97,24.06,168.7,69,6,2.78,2,0,1,0
59,0,0,0,231.4,93,92,14.28,257.2,124,5,3.08,2,0,1,0
34,0,0,0,128.8,80,93,17.74,202.1,103,7,3.78,1,0,0,0
110,0,0,0,131.9,93,106,23.18,192.8,105,4,1.92,1,0,0,1
105,0,0,0,251.6,88,103,14.88,184.4,112,5,1.46,1,0,1,0
145,0,0,0,175.8,89,119,23.32,226.6,69,4,3.35,1,0,1,0
76,0,1,35,273.7,94,101,13.03,259.0,109,3,1.03,0,0,1,0
101,0,0,0,332.1,91,123,12.84,277.8,99,3,3.05,1,1,1,0
68,0,0,0,172.7,95,90,11.82,174.3,99,1,3.16,2,0,0,1
117,0,1,35,190.7,100,107,17.82,202.5,101,5,3.35,1,0,1,0
82,0,0,0,154.0,107,114,8.02,287.6,95,7,2.73,1,0,0,0
84,0,1,42,165.3,97,118,19.0,260.8,72,7,2.05,3,0,0,1
126,0,1,23,114.3,102,103,16.18,240.4,111,7,3.4,3,0,1,0
126,1,0,0,197.6,126,112,20.95,285.3,104,8,3.38,2,0,0,0
133,0,0,0,171.8,64,83,15.05,223.0,96,4,2.78,1,0,1,0
108,0,0,0,178.3,137,76,16.07,129.1,102,5,3.94,0,0,1,0
129,0,0,0,207.0,91,121,13.17,245.1,112,5,3.62,3,0,0,0
65,0,0,0,217.9,89,101,20.3,194.4,105,4,1.78,0,0,1,0
57,0,0,0,189.3,157,70,14.87,221.9,117,5,3.02,3,0,1,0
225,0,0,0,182.7,142,63,20.95,218.0,103,2,2.38,1,0,1,0
50,0,1,31,302.7,93,119,20.44,193.9,103,14,3.67,3,0,0,0
61,0,0,0,197.7,118,96,12.94,221.0,93,3,1.89,2,0,1,0
117,1,0,0,167.1,86,87,15.09,249.4,132,7,3.81,2,1,0,0
116,0,0,0,271.0,114,71,17.84,193.5,109,2,3.7,5,1,1,0
104,0,0,0,285.3,75,111,11.12,181.8,99,2,2.84,2,0,1,0
33,0,0,0,213.9,88,119,20.38,148.7,71,14,2.65,2,0,1,0
48,0,0,0,197.7,64,126,11.62,244.4,81,5,3.56,4,0,1,0
36,1,1,19,171.9,96,111,16.86,321.7,76,1,2.84,1,1,1,0
133,0,0,0,221.1,133,140,13.62,161.8,84,3,2.27,4,0,0,0
50,0,0,0,198.7,114,90,12.03,293.0,79,5,2.84,4,0,0,0
21,0,0,0,244.7,81,117,14.28,281.5,87,1,1.78,1,0,1,0
67,0,1,35,245.4,89,102,12.6,274.0,136,6,2.03,1,0,0,1
128,0,0,0,103.3,122,123,20.9,161.1,95,7,1.73,0,0,1,0
108,0,1,35,169.8,136,101,14.76,214.6,105,7,2.57,2,0,1,0
110,0,0,0,281.2,78,89,25.7,188.4,92,4,2.3,0,1,0,1
61,0,1,27,187.5,124,103,12.46,225.7,129,6,1.73,4,1,0,1
173,0,0,0,191.4,114,138,14.32,109.3,99,3,2.78,1,0,1,0
200,0,0,0,128.2,87,105,11.32,177.6,123,2,3.02,1,0,0,0
82,0,0,0,329.8,73,120,17.71,267.1,102,6,2.86,0,1,0,1
118,0,1,42,148.7,105,105,14.22,270.6,105,7,2.81,0,0,1,0
108,0,1,19,312.4,98,122,23.07,162.6,91,6,2.73,0,0,1,0
18,0,0,0,273.6,93,116,9.74,250.6,120,4,2.21,1,0,0,0
90,0,0,0,68.8,124,106,14.29,281.7,96,5,2.65,1,0,1,0
13,0,0,0,167.4,117,102,19.0,215.8,108,3,2.43,1,0,0,1
116,1,0,0,215.4,104,79,17.41,278.5,109,5,3.4,3,0,1,0
100,0,0,0,218.8,125,102,12.61,277.8,97,6,2.62,1,0,0,0
116,0,1,34,268.6,83,142,15.15,166.3,106,3,3.13,2,0,1,0
143,0,0,0,194.3,99,133,10.51,229.5,99,2,2.75,2,0,0,1
99,0,0,0,128.3,78,120,18.3,143.7,140,9,3.86,2,0,0,1
35,0,0,0,138.1,115,82,13.45,215.7,118,2,2.78,5,1,0,0
127,0,1,24,154.8,69,105,15.06,207.6,102,4,2.43,1,0,1,0
81,1,0,0,220.4,76,122,23.49,239.5,112,5,3.08,1,1,1,0
138,1,0,0,286.2,61,60,15.91,146.2,114,4,2.97,2,1,0,1
104,0,0,0,200.2,92,87,10.09,236.6,65,6,1.62,2,0,0,0
136,0,1,23,235.6,65,81,15.1,138.7,105,5,3.05,1,0,1,0
121,1,0,0,175.9,87,114,19.15,156.2,113,3,2.81,2,0,0,0
170,0,0,0,184.1,106,70,17.42,224.3,133,3,2.65,2,0,0,1
72,0,0,0,147.0,79,103,13.8,162.9,80,4,2.84,1,0,0,0
114,0,0,0,204.4,91,136,20.37,235.0,64,3,3.11,2,0,0,0
119,0,0,0,287.1,115,99,13.54,216.8,86,1,3.75,2,1,0,0
8,0,0,0,176.0,97,136,19.91,193.5,134,5,2.3,1,0,1,0
100,0,0,0,129.4,69,73,21.36,157.1,92,3,2.81,1,0,1,0
105,0,0,0,101.5,83,83,16.47,214.3,113,4,3.16,3,0,0,1
54,0,0,0,116.8,119,123,10.46,217.5,101,2,3.24,1,0,1,0
134,0,0,0,202.7,105,90,19.12,253.9,108,7,3.27,0,0,0,0
79,0,0,0,134.7,98,68,16.12,221.4,128,5,3.19,2,0,1,0
100,0,0,0,115.9,87,56,9.46,170.2,77,4,1.92,1,0,0,1
94,0,1,31,209.3,90,111,23.94,190.1,66,5,2.13,0,0,1,0
177,0,1,29,189.0,91,96,25.76,163.6,116,1,4.24,3,0,0,0
86,0,0,0,217.8,93,95,18.25,228.7,70,7,3.05,0,0,1,0
116,0,0,0,205.0,90,114,11.98,272.6,96,4,2.03,2,0,0,1
68,0,0,0,134.6,73,117,17.58,138.4,104,2,2.54,2,0,1,0
14,0,0,0,184.5,77,103,23.16,190.3,129,3,2.62,4,0,1,0
59,0,0,0,107.8,113,125,18.41,217.5,92,3,2.67,2,0,0,0
84,0,0,0,163.7,123,93,14.88,194.0,115,5,2.16,1,0,0,0
193,0,0,0,180.5,114,80,10.02,192.9,97,4,2.75,2,0,1,0
82,0,0,0,143.7,116,99,14.51,287.7,95,5,2.11,1,0,0,0
99,0,1,12,119.9,83,98,20.2,187.6,159,2,4.48,1,0,0,0
185,0,1,18,103.9,112,111,19.55,155.7,119,5,2.3,0,0,0,0
31,0,0,0,142.9,67,72,9.32,293.6,112,6,3.11,0,0,1,0
138,0,0,0,180.5,82,103,20.6,244.4,89,7,2.78,2,0,0,0
7,0,1,33,211.8,99,110,14.53,244.2,125,4,3.02,2,0,0,1
116,0,1,35,118.0,103,106,14.21,205.7,102,2,3.19,2,0,0,1
119,0,0,0,98.8,97,68,12.49,190.7,105,4,2.7,3,0,1,0
107,0,1,26,161.6,123,103,16.62,254.4,103,3,3.7,1,0,1,0
89,1,0,0,206.9,134,105,14.25,155.7,86,4,2.94,0,0,0,0
54,0,0,0,134.3,73,100,13.22,102.1,68,4,3.97,3,0,0,0
144,0,0,0,61.6,117,85,6.55,173.0,99,7,2.21,4,1,0,0
122,0,1,27,253.7,84,109,19.48,190.5,123,5,2.48,7,0,0,0
108,0,1,15,196.8,79,99,14.75,274.7,108,5,3.94,1,0,1,0
83,0,0,0,208.9,71,92,18.26,247.9,108,5,3.51,1,0,0,1
80,0,0,0,197.5,114,119,17.59,163.6,109,4,3.05,1,0,1,0
69,0,1,38,272.9,122,97,16.01,132.4,87,3,2.84,2,0,0,0
72,0,0,0,141.3,133,96,11.47,227.5,97,3,3.02,2,0,0,1
135,1,0,0,174.8,112,125,18.53,180.1,102,6,3.43,3,0,0,0
104,0,0,0,264.0,108,75,11.24,177.7,91,8,2.86,3,0,1,0
157,0,0,0,240.2,67,98,13.01,249.0,72,6,2.75,2,0,0,0
107,0,0,0,260.6,81,116,20.92,243.3,117,9,3.46,0,1,1,0
141,0,0,0,208.5,129,86,16.18,144.7,93,9,3.24,1,0,1,0
41,1,1,31,278.1,86,103,22.79,241.5,77,4,3.05,0,0,0,0
63,0,1,32,218.9,124,125,18.22,260.3,120,3,3.48,1,0,1,0
56,0,1,37,153.7,97,91,23.07,179.0,121,2,2.24,1,0,0,1
104,0,0,0,186.8,102,114,14.99,222.2,84,3,3.51,0,0,1,0
150,0,0,0,150.9,92,106,16.24,223.6,107,4,2.24,5,1,0,0
85,0,0,0,183.4,111,98,14.35,199.7,97,4,2.67,4,0,0,1
84,0,1,41,153.9,102,117,11.96,217.7,101,5,3.46,1,0,0,0
160,0,0,0,256.0,111,61,15.93,119.1,81,4,3.11,3,0,1,0
106,0,0,0,178.4,143,123,21.0,259.9,105,2,2.59,0,0,0,0
103,0,0,0,245.8,116,97,11.51,190.9,73,7,2.67,1,0,1,0
119,0,0,0,140.0,135,103,11.81,230.2,121,6,1.65,0,0,0,1
112,0,0,0,81.6,94,112,22.79,140.8,75,18,2.32,1,0,1,0
32,0,0,0,157.9,88,132,15.37,132.5,102,3,3.46,1,0,0,0
57,0,0,0,190.1,114,96,23.33,132.5,122,5,2.48,3,0,1,0
29,1,1,37,235.0,101,79,15.58,139.8,106,7,1.54,2,0,1,0
87,1,1,36,171.2,138,102,15.79,227.6,97,3,2.92,1,0,0,0
138,0,0,0,138.7,124,64,23.83,206.7,98,4,2.81,1,0,0,0
56,0,0,0,150.9,79,87,13.75,167.7,115,5,3.16,3,0,0,1
115,0,1,26,170.5,107,77,18.46,225.7,71,5,3.67,6,0,1,0
144,1,0,0,150.0,69,73,24.3,190.6,121,15,2.54,0,0,1,0
81,0,0,0,261.4,141,102,18.33,271.8,96,6,2.16,1,1,0,1
117,0,0,0,181.5,95,88,17.43,204.0,82,9,3.97,2,0,1,0
154,0,1,32,192.3,82,134,14.05,205.0,74,1,2.43,2,0,0,1
174,0,1,33,167.8,91,91,17.45,130.0,132,4,3.92,4,1,0,0
85,0,0,0,209.1,57,111,9.41,113.3,113,4,3.46,1,0,0,0
157,1,0,0,180.4,123,98,16.49,227.3,88,5,2.27,0,0,1,0
42,0,0,0,150.7,52,96,20.97,103.8,118,4,1.89,2,0,1,0
143,0,0,0,209.1,127,80,9.02,179.6,90,6,3.78,0,0,1,0
93,1,0,0,131.4,78,106,18.67,155.7,103,2,3.0,1,1,0,1
170,1,0,0,259.9,68,122,20.83,134.4,121,3,2.27,3,0,0,1
171,0,0,0,270.5,69,112,19.55,136.0,111,5,2.59,1,1,0,0
137,0,0,0,206.4,122,102,10.88,194.5,84,5,2.38,2,0,0,1
91,0,0,0,143.2,127,89,8.76,233.5,94,3,3.43,2,0,0,1
46,0,0,0,156.4,105,98,15.77,226.7,96,3,3.19,1,0,0,0
108,0,1,30,126.0,124,84,17.2,186.4,99,1,2.32,1,0,1,0
87,0,0,0,176.6,83,101,18.84,185.3,89,1,2.54,0,0,1,0
110,0,1,37,227.9,80,141,8.66,188.1,110,6,1.38,0,0,1,0
102,0,0,0,273.2,85,82,17.94,203.7,129,7,3.54,2,1,0,0
71,0,0,0,119.9,108,82,20.46,151.1,124,7,2.19,3,0,1,0
106,0,0,0,147.7,105,129,18.28,267.2,95,3,2.97,1,0,1,0
69,0,0,0,111.7,86,68,15.94,194.8,128,10,3.13,2,0,1,0
90,0,0,0,180.0,58,88,19.5,162.2,110,9,3.56,1,0,1,0
89,0,1,15,274.0,83,97,16.34,125.9,141,2,3.21,0,0,1,0
125,0,0,0,138.5,96,117,13.57,212.7,91,3,2.08,2,0,1,0
104,0,0,0,164.2,109,90,13.21,168.9,117,8,2.89,1,0,1,0
176,0,0,0,216.7,91,104,19.88,231.1,110,4,2.43,1,0,1,0
65,0,0,0,153.9,117,122,18.71,280.5,147,3,2.3,2,0,0,1
117,0,1,14,80.2,81,103,18.62,122.6,102,2,2.32,1,0,0,0
91,0,1,39,160.8,97,54,10.14,147.9,101,3,2.78,3,0,0,1
144,0,0,0,133.3,101,127,21.72,228.6,68,2,3.13,0,0,1,0
74,1,0,0,267.5,134,110,20.61,223.0,108,4,2.24,3,1,1,0
64,0,0,0,160.6,110,97,14.61,105.2,56,2,1.97,0,1,1,0
106,0,0,0,149.7,114,72,8.88,227.9,87,2,2.43,2,0,1,0
188,1,1,26,198.8,115,67,14.16,198.5,118,3,3.89,1,1,1,0
52,0,0,0,165.9,122,107,18.04,202.1,94,3,2.24,1,0,1,0
159,0,0,0,275.8,103,108,16.11,223.9,93,5,2.0,2,1,1,0
87,1,0,0,128.9,71,91,23.96,209.1,100,4,2.67,0,0,1,0
137,0,0,0,242.1,118,93,16.24,218.6,50,2,3.97,3,0,0,1
145,0,1,24,147.5,90,108,14.93,252.1,102,3,4.21,2,0,0,0
36,0,0,0,184.6,132,69,16.46,283.5,83,3,1.59,1,0,1,0
74,0,0,0,162.7,102,105,24.82,183.3,80,6,2.35,0,0,1,0
67,0,0,0,245.1,118,94,15.74,193.6,112,3,2.19,3,0,1,0
66,0,1,32,187.8,117,90,11.03,132.3,113,3,3.24,2,0,0,0
161,0,0,0,72.8,120,120,22.7,222.5,91,2,3.19,2,0,1,0
113,0,0,0,140.8,107,87,21.47,215.4,136,4,2.46,3,0,1,0
99,0,0,0,193.3,51,117,20.41,145.7,92,4,3.29,1,0,0,0
43,0,1,39,198.5,104,107,13.86,212.2,125,2,2.92,1,0,0,0
121,0,1,35,68.7,95,69,17.78,197.4,42,4,3.08,1,0,0,0
78,0,0,0,155.0,106,101,14.9,155.6,125,5,3.19,2,0,1,0
33,0,0,0,251.9,81,96,16.54,211.2,87,3,2.27,2,0,0,0
67,0,0,0,125.0,96,114,25.03,205.7,75,4,2.75,1,1,0,1
131,0,0,0,55.5,79,104,13.9,128.1,59,4,2.73,1,0,1,0
95,0,0,0,198.4,113,144,20.05,325.6,99,3,2.73,0,0,1,0
124,0,0,0,94.8,102,91,20.31,279.4,94,3,3.13,2,0,1,0
57,0,0,0,221.1,101,65,20.12,252.3,137,1,2.57,0,0,1,0
113,0,1,20,157.8,83,56,13.73,271.5,100,2,2.35,5,1,0,0
60,0,0,0,221.0,94,72,26.2,233.2,94,5,2.73,1,1,1,0
102,0,1,32,135.7,108,134,18.4,160.5,125,7,3.51,1,0,1,0
57,0,0,0,192.8,68,86,13.43,235.5,105,6,3.43,1,0,0,1
63,0,0,0,153.5,81,115,24.42,230.2,85,5,1.76,2,0,0,1
103,0,0,0,267.0,97,151,17.37,246.9,67,7,3.05,1,1,0,1
16,0,0,0,144.8,84,141,14.02,231.5,75,4,2.21,2,0,0,1
127,0,1,25,173.0,91,64,20.89,300.0,99,3,1.3,0,0,0,0
43,0,0,0,159.5,99,149,10.17,173.9,126,3,1.84,2,0,0,1
125,0,0,0,206.0,128,71,16.84,135.9,116,3,3.56,0,0,1,0
124,0,0,0,253.5,104,123,10.02,248.5,104,2,3.78,0,0,1,0
124,0,0,0,234.4,61,111,15.24,285.5,117,6,2.81,3,0,1,0
70,0,0,0,176.5,85,93,10.13,227.7,90,5,2.35,1,0,0,0
142,0,1,20,214.3,126,102,21.26,189.7,116,4,2.86,4,0,0,0
125,0,0,0,233.3,65,93,17.83,210.6,109,4,2.46,1,0,1,0
109,0,0,0,162.6,138,109,13.09,209.7,118,4,3.11,0,0,0,0
60,1,0,0,205.9,97,117,23.58,202.0,139,2,2.97,0,1,1,0
137,0,0,0,248.3,63,108,21.28,159.1,94,4,2.59,1,0,1,0
42,0,0,0,160.2,103,116,13.58,255.7,87,3,3.48,1,0,0,1
97,0,1,25,141.0,101,85,18.02,175.2,138,2,1.32,3,0,0,0
123,0,0,0,114.8,94,104,12.75,268.6,119,4,2.59,2,0,0,0
13,0,0,0,193.2,89,90,16.52,186.5,104,2,2.62,4,0,1,0
90,0,0,0,102.0,118,134,9.63,188.6,105,3,3.08,2,0,1,0
64,0,1,27,201.3,101,89,12.22,150.2,127,3,3.32,1,0,1,0
65,0,0,0,136.1,112,96,23.2,220.2,104,2,1.19,1,0,1,0
60,0,0,0,145.0,133,92,17.77,328.5,112,2,3.94,1,0,1,0
103,0,0,0,185.8,118,84,7.38,208.4,115,9,2.89,1,0,0,0
113,0,1,32,180.4,89,124,11.0,166.9,124,2,2.27,1,0,1,0
96,0,1,26,175.8,96,84,17.56,178.0,105,2,3.0,2,0,1,0
54,0,1,28,217.4,98,120,20.93,127.0,92,8,2.03,1,0,1,0
115,0,1,37,184.1,67,104,13.55,193.3,121,3,3.59,0,0,1,0
81,0,0,0,175.5,67,85,21.19,270.2,98,3,2.75,1,0,0,0
112,0,0,0,135.7,34,99,20.66,209.3,115,8,3.29,1,0,0,0
91,1,0,0,145.0,89,102,14.94,223.7,151,3,4.51,2,1,1,0
77,0,0,0,142.3,112,111,26.04,196.5,82,1,2.67,1,0,1,0
92,0,0,0,240.2,86,79,9.15,156.6,121,4,2.03,1,0,0,1
72,0,1,21,138.1,113,83,22.11,135.4,118,2,2.21,2,0,1,0
41,0,0,0,237.8,92,155,19.0,217.4,90,6,2.75,2,0,0,0
61,0,0,0,217.5,116,108,21.97,210.4,99,3,2.35,1,0,1,0
120,0,0,0,198.8,56,73,19.56,119.8,81,3,2.67,2,0,0,1
58,0,0,0,177.4,107,104,17.4,141.9,123,9,4.05,3,0,0,0
